,Wavelength (nm),Absorption (/cm)
986,1286,1.1794117647058824
987,1287,1.1917647058823528
988,1288,1.2041176470588235
989,1289,1.2164705882352942
990,1290,1.2288235294117646
991,1291,1.2411764705882353
992,1292,1.2535294117647058
993,1293,1.2658823529411765
994,1294,1.2782352941176471
995,1295,1.2905882352941176
996,1296,1.3029411764705883
997,1297,1.315294117647059
998,1298,1.3276470588235294
999,1299,1.34
1000,1300,1.3594117647058823
1001,1301,1.3788235294117648
1002,1302,1.398235294117647
1003,1303,1.4176470588235295
1004,1304,1.4370588235294117
1005,1305,1.4564705882352942
1006,1306,1.4758823529411764
1007,1307,1.4952941176470589
1008,1308,1.5147058823529411
1009,1309,1.5341176470588236
1010,1310,1.5535294117647058
1011,1311,1.5729411764705883
1012,1312,1.5923529411764705
1013,1313,1.611764705882353
1014,1314,1.6311764705882352
1015,1315,1.6505882352941175
1016,1316,1.67
1017,1317,1.7041176470588235
1018,1318,1.738235294117647
1019,1319,1.7723529411764705
1020,1320,1.806470588235294
1021,1321,1.8405882352941176
1022,1322,1.874705882352941
1023,1323,1.9088235294117646
1024,1324,1.9429411764705882
1025,1325,1.9770588235294118
1026,1326,2.0111764705882353
1027,1327,2.045294117647059
1028,1328,2.079411764705882
1029,1329,2.1135294117647057
1030,1330,2.1476470588235292
1031,1331,2.181764705882353
1032,1332,2.2158823529411764
1033,1333,2.25
1034,1334,2.34
1035,1335,2.43
1036,1336,2.52
1037,1337,2.61
1038,1338,2.7
1039,1339,2.79
1040,1340,2.88
1041,1341,2.97
1042,1342,3.06
1043,1343,3.1500000000000004
1044,1344,3.24
1045,1345,3.33
1046,1346,3.42
1047,1347,3.5100000000000002
1048,1348,3.6
1049,1349,3.6900000000000004
1050,1350,3.7800000000000002
1051,1351,3.87
1052,1352,3.9531578947368424
1053,1353,4.036315789473685
1054,1354,4.119473684210527
1055,1355,4.2026315789473685
1056,1356,4.28578947368421
1057,1357,4.368947368421053
1058,1358,4.452105263157895
1059,1359,4.535263157894737
1060,1360,4.618421052631579
1061,1361,4.7015789473684215
1062,1362,4.784736842105263
1063,1363,4.867894736842105
1064,1364,4.951052631578948
1065,1365,5.03421052631579
1066,1366,5.117368421052632
1067,1367,5.200526315789474
1068,1368,5.2836842105263155
1069,1369,5.366842105263158
1070,1370,5.45
1071,1371,5.643684210526316
1072,1372,5.8373684210526315
1073,1373,6.031052631578948
1074,1374,6.224736842105264
1075,1375,6.4184210526315795
1076,1376,6.612105263157895
1077,1377,6.805789473684211
1078,1378,6.9994736842105265
1079,1379,7.193157894736842
1080,1380,7.386842105263158
1081,1381,7.580526315789474
1082,1382,7.77421052631579
1083,1383,7.967894736842106
1084,1384,8.161578947368422
1085,1385,8.355263157894738
1086,1386,8.548947368421054
1087,1387,8.74263157894737
1088,1388,8.936315789473685
1089,1389,9.13
1090,1390,9.781052631578948
1091,1391,10.432105263157895
1092,1392,11.083157894736843
1093,1393,11.73421052631579
1094,1394,12.385263157894737
1095,1395,13.036315789473685
1096,1396,13.687368421052632
1097,1397,14.33842105263158
1098,1398,14.989473684210527
1099,1399,15.640526315789474
1100,1400,16.29157894736842
1101,1401,16.94263157894737
1102,1402,17.593684210526316
1103,1403,18.24473684210526
1104,1404,18.89578947368421
1105,1405,19.54684210526316
1106,1406,20.197894736842105
1107,1407,20.84894736842105
1108,1408,21.5
1109,1409,21.952380952380953
1110,1410,22.404761904761905
1111,1411,22.857142857142858
1112,1412,23.30952380952381
1113,1413,23.761904761904763
1114,1414,24.214285714285715
1115,1415,24.666666666666668
1116,1416,25.11904761904762
1117,1417,25.57142857142857
1118,1418,26.023809523809526
1119,1419,26.476190476190474
1120,1420,26.92857142857143
1121,1421,27.38095238095238
1122,1422,27.833333333333332
1123,1423,28.285714285714285
1124,1424,28.738095238095237
1125,1425,29.19047619047619
1126,1426,29.642857142857142
1127,1427,30.095238095238095
1128,1428,30.547619047619047
1129,1429,31.0
1130,1430,31.05
1131,1431,31.1
1132,1432,31.15
1133,1433,31.2
1134,1434,31.25
1135,1435,31.3
1136,1436,31.35
1137,1437,31.4
1138,1438,31.45
1139,1439,31.5
1140,1440,31.55
1141,1441,31.599999999999998
1142,1442,31.65
1143,1443,31.7
1144,1444,31.585714285714285
1145,1445,31.47142857142857
1146,1446,31.357142857142858
1147,1447,31.242857142857144
1148,1448,31.128571428571426
1149,1449,31.014285714285712
1150,1450,30.9
1151,1451,30.785714285714285
1152,1452,30.67142857142857
1153,1453,30.557142857142857
1154,1454,30.442857142857143
1155,1455,30.32857142857143
1156,1456,30.214285714285715
1157,1457,30.1
1158,1458,29.985714285714284
1159,1459,29.87142857142857
1160,1460,29.757142857142856
1161,1461,29.642857142857142
1162,1462,29.52857142857143
1163,1463,29.414285714285715
1164,1464,29.3
1165,1465,29.185714285714287
1166,1466,29.071428571428573
1167,1467,28.957142857142856
1168,1468,28.84285714285714
1169,1469,28.728571428571428
1170,1470,28.614285714285714
1171,1471,28.5
1172,1472,28.19090909090909
1173,1473,27.881818181818183
1174,1474,27.572727272727274
1175,1475,27.263636363636362
1176,1476,26.954545454545453
1177,1477,26.645454545454545
1178,1478,26.336363636363636
1179,1479,26.027272727272727
1180,1480,25.71818181818182
1181,1481,25.40909090909091
1182,1482,25.1
1183,1483,24.79090909090909
1184,1484,24.48181818181818
1185,1485,24.172727272727272
1186,1486,23.863636363636363
1187,1487,23.554545454545455
1188,1488,23.245454545454542
1189,1489,22.936363636363637
1190,1490,22.627272727272725
1191,1491,22.318181818181817
1192,1492,22.009090909090908
1193,1493,21.7
1194,1494,21.422727272727272
1195,1495,21.145454545454545
1196,1496,20.868181818181817
1197,1497,20.59090909090909
1198,1498,20.313636363636363
1199,1499,20.036363636363635
1200,1500,19.759090909090908
1201,1501,19.48181818181818
1202,1502,19.204545454545453
1203,1503,18.927272727272726
1204,1504,18.65
1205,1505,18.37272727272727
1206,1506,18.095454545454544
1207,1507,17.818181818181817
1208,1508,17.54090909090909
1209,1509,17.263636363636362
